Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamilyName,Kinship,Deck,Alone,AgeGroup
0,3,1,22.0,1,0,523,7.25,2,2,73,1,8,0.0,0
1,1,0,38.0,1,0,596,71.28,0,3,136,1,2,0.0,0
1,3,0,26.0,0,0,669,7.92,2,1,251,0,8,1.0,0
1,1,0,35.0,1,0,49,26.55,2,3,198,1,2,0.0,0
0,3,1,35.0,0,0,472,8.05,2,2,11,0,8,1.0,0
0,3,1,29.0,0,0,275,8.46,1,2,409,0,8,1.0,0
0,1,1,54.0,0,0,85,51.86,2,2,378,0,4,1.0,0
0,3,1,2.0,3,1,395,5.27,2,0,463,4,8,0.0,1
1,3,0,27.0,0,2,344,3.71,2,3,292,2,8,0.0,0
1,2,0,14.0,1,0,132,15.04,0,3,426,1,8,0.0,3
1,3,0,4.0,1,1,616,8.35,2,1,537,2,6,0.0,1
1,1,0,58.0,0,0,38,26.55,2,1,65,0,2,1.0,0
0,3,1,20.0,0,0,535,8.05,2,2,538,0,8,1.0,0
0,3,1,39.0,1,5,333,4.47,2,2,16,6,8,0.0,0
0,3,0,14.0,0,0,413,7.85,2,1,626,0,8,1.0,3
1,2,0,55.0,0,0,153,16.0,2,3,256,0,8,1.0,0
0,3,1,2.0,4,1,480,5.82,1,0,505,5,8,0.0,1
1,2,1,29.0,0,0,151,13.0,2,2,647,0,8,1.0,0
0,3,0,31.0,1,0,301,18.0,2,3,625,1,8,0.0,0
1,3,0,29.0,0,0,184,7.22,0,3,375,0,8,1.0,0
0,2,1,35.0,0,0,139,13.0,2,2,199,0,8,1.0,0
1,2,1,34.0,0,0,152,13.0,2,2,51,0,3,1.0,0
1,3,0,15.0,0,0,278,8.03,1,1,385,0,8,1.0,3
1,1,1,28.0,0,0,42,35.5,2,2,568,0,0,1.0,0
0,3,0,8.0,3,1,395,5.27,2,1,463,4,8,0.0,1
1,3,0,38.0,1,5,329,7.85,2,3,25,6,8,0.0,0
0,3,1,29.0,0,0,179,7.22,0,2,176,0,8,1.0,0
0,1,1,19.0,3,2,95,65.75,2,2,189,5,2,0.0,0
1,3,0,29.0,0,0,283,7.88,1,1,448,0,8,1.0,0
0,3,1,29.0,0,0,362,7.9,2,2,604,0,8,1.0,0
0,1,1,40.0,0,0,598,27.72,0,4,618,0,8,1.0,0
1,1,0,29.0,1,0,586,73.26,0,3,576,1,1,0.0,0
1,3,0,29.0,0,0,288,7.75,1,1,215,0,8,1.0,0
0,2,1,66.0,0,0,549,10.5,2,2,639,0,8,1.0,2
0,1,1,28.0,1,0,600,41.09,0,2,395,1,8,0.0,0
0,1,1,42.0,1,0,43,26.0,2,2,265,1,8,0.0,0
1,3,1,29.0,0,0,202,7.23,0,2,368,0,8,1.0,0
0,3,1,21.0,0,0,514,8.05,2,2,93,0,8,1.0,0
0,3,0,18.0,2,0,302,9.0,2,1,625,2,8,0.0,0
